
Image Name                     PID Session Name        Session#    Mem Usage
AsusSwitch.exe               22956 Services                   0      1,068 K
svchost.exe                  17896 Services                   0      1,300 K
svchost.exe                  31032 Services                   0      1,316 K
svchost.exe                   4768 Services                   0      1,732 K
csrss.exe                    19472 Console                   15      2,948 K
winlogon.exe                 28884 Console                   15      1,524 K
fontdrvhost.exe              19640 Console                   15      4,316 K
dwm.exe                      13348 Console                   15     86,132 K
sihost.exe                   19976 Console                   15     18,380 K
svchost.exe                   3408 Console                   15      2,008 K
svchost.exe                  27480 Console                   15     12,292 K
svchost.exe                  32608 Console                   15      1,304 K
igfxEM.exe                   18476 Console                   15      2,144 K
svchost.exe                  16352 Console                   15     16,104 K
taskhostw.exe                19876 Console                   15     13,624 K
ShellHost.exe                11964 Console                   15      5,560 K
explorer.exe                 19028 Console                   15    234,980 K
svchost.exe                  22656 Console                   15     12,644 K
SearchHost.exe               21856 Console                   15     75,544 K
StartMenuExperienceHost.e    16472 Console                   15     21,572 K
Widgets.exe                  12388 Console                   15     40,112 K
RuntimeBroker.exe            12352 Console                   15     17,456 K
svchost.exe                   8768 Console                   15      4,864 K
RuntimeBroker.exe            17144 Console                   15      4,768 K
WidgetService.exe            27872 Console                   15     14,044 K
dllhost.exe                  29860 Console                   15     10,052 K
svchost.exe                  25936 Services                   0      1,040 K
UniKeyNT.exe                   172 Console                   15      1,932 K
TextInputHost.exe             3636 Console                   15     23,516 K
svchost.exe                  25784 Console                   15      9,148 K
RtkAudUService64.exe         28052 Console                   15      2,188 K
SecurityHealthSystray.exe    31588 Console                   15      1,688 K
McUICnt.exe                  28440 Console                   15      6,164 K
McPvTray.exe                 18132 Console                   15      1,644 K
OneDrive.exe                 30404 Console                   15     43,004 K
FileCoAuth.exe               23192 Console                   15      6,896 K
ShellExperienceHost.exe       3708 Console                   15     39,556 K
RuntimeBroker.exe            31228 Console                   15     13,512 K
msedge.exe                   27344 Console                   15     38,424 K
msedge.exe                   30048 Console                   15      1,780 K
msedge.exe                   22920 Console                   15      7,100 K
msedge.exe                   30780 Console                   15     17,908 K
msedge.exe                   20924 Console                   15      4,524 K
devenv.exe                   27452 Console                   15    662,540 K
PerfWatson2.exe              26652 Console                   15     36,068 K
Grammarly.Desktop.exe        24808 Console                   15    171,344 K
Microsoft.ServiceHub.Cont     3092 Console                   15     31,956 K
ServiceHub.VSDetouredHost    28488 Console                   15     14,508 K
ServiceHub.ThreadedWaitDi    26088 Console                   15     18,320 K
ServiceHub.IndexingServic     8236 Console                   15     40,616 K
CrossDeviceService.exe       11004 Console                   15     52,280 K
msedgewebview2.exe           19944 Console                   15     56,828 K
msedgewebview2.exe           18696 Console                   15      1,792 K
msedgewebview2.exe           30384 Console                   15     17,324 K
msedgewebview2.exe           10036 Console                   15     15,780 K
msedgewebview2.exe           27312 Console                   15      4,796 K
msedgewebview2.exe           23272 Console                   15     46,828 K
RuntimeBroker.exe            10992 Console                   15      2,108 K
vshost.exe                    2660 Console                   15         68 K
msedgewebview2.exe            3052 Console                   15      9,972 K
msedgewebview2.exe           24184 Console                   15      1,976 K
ServiceHub.IdentityHost.e    31964 Console                   15     20,168 K
msedgewebview2.exe           21132 Console                   15      5,432 K
