
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,796 K
Registry                       176 Services                   0     33,876 K
smss.exe                       680 Services                   0        144 K
csrss.exe                      796 Services                   0      3,004 K
wininit.exe                   1000 Services                   0        424 K
services.exe                  1048 Services                   0      7,348 K
lsass.exe                     1056 Services                   0     17,856 K
svchost.exe                   1192 Services                   0     29,120 K
fontdrvhost.exe               1224 Services                   0        152 K
WUDFHost.exe                  1244 Services                   0      4,992 K
svchost.exe                   1312 Services                   0     20,564 K
svchost.exe                   1368 Services                   0      3,848 K
WUDFHost.exe                  1416 Services                   0      1,772 K
svchost.exe                   1692 Services                   0      2,528 K
svchost.exe                   1696 Services                   0      1,916 K
svchost.exe                   1712 Services                   0      6,928 K
svchost.exe                   1852 Services                   0      3,004 K
svchost.exe                   1860 Services                   0      4,988 K
svchost.exe                   1892 Services                   0      3,240 K
svchost.exe                   1972 Services                   0     10,716 K
IntelCpHDCPSvc.exe            1988 Services                   0      1,000 K
svchost.exe                   2000 Services                   0      1,480 K
svchost.exe                    652 Services                   0      4,772 K
svchost.exe                   1140 Services                   0      3,548 K
IntelCpHeciSvc.exe            2120 Services                   0        936 K
svchost.exe                   2156 Services                   0      6,636 K
svchost.exe                   2456 Services                   0      5,036 K
svchost.exe                   2508 Services                   0      1,296 K
svchost.exe                   2568 Services                   0     10,936 K
svchost.exe                   2672 Services                   0      1,408 K
svchost.exe                   2680 Services                   0      6,004 K
svchost.exe                   2688 Services                   0      1,616 K
svchost.exe                   2724 Services                   0      1,460 K
dasHost.exe                   2884 Services                   0        976 K
Memory Compression            2904 Services                   0     77,228 K
svchost.exe                   2964 Services                   0      1,368 K
svchost.exe                   3040 Services                   0      7,336 K
igfxCUIService.exe            3068 Services                   0      1,168 K
svchost.exe                   2848 Services                   0      2,100 K
svchost.exe                   2652 Services                   0      3,152 K
svchost.exe                   3192 Services                   0     19,224 K
svchost.exe                   3200 Services                   0      2,136 K
svchost.exe                   3272 Services                   0      9,004 K
svchost.exe                   3428 Services                   0      2,816 K
svchost.exe                   3436 Services                   0      3,676 K
svchost.exe                   3536 Services                   0      4,036 K
svchost.exe                   3640 Services                   0      2,904 K
svchost.exe                   3728 Services                   0      8,340 K
svchost.exe                   3736 Services                   0     21,424 K
svchost.exe                   3884 Services                   0      7,428 K
svchost.exe                   3892 Services                   0      2,852 K
svchost.exe                   3940 Services                   0      1,904 K
spoolsv.exe                   4052 Services                   0      1,568 K
svchost.exe                   4160 Services                   0      2,604 K
svchost.exe                   4240 Services                   0     23,836 K
svchost.exe                   4256 Services                   0      2,060 K
svchost.exe                   4268 Services                   0     25,576 K
svchost.exe                   4276 Services                   0     11,552 K
ELANFPService.exe             4360 Services                   0        108 K
svchost.exe                   4444 Services                   0      1,872 K
OneApp.IGCC.WinService.ex     4456 Services                   0      5,488 K
ICEsoundService64.exe         4512 Services                   0      3,548 K
iaStorAfsService.exe          4540 Services                   0      1,392 K
svchost.exe                   4548 Services                   0      3,588 K
IntelAudioService.exe         4592 Services                   0      3,896 K
mfemms.exe                    4620 Services                   0      3,868 K
esif_uf.exe                   4636 Services                   0      1,872 K
svchost.exe                   4664 Services                   0      1,284 K
ModuleCoreService.exe         4688 Services                   0     49,744 K
MpDefenderCoreService.exe     4712 Services                   0     12,052 K
FoxitPDFReaderUpdateServi     4784 Services                   0      1,880 K
RtkBtManServ.exe              4800 Services                   0      1,508 K
PEFService.exe                4808 Services                   0     10,080 K
OfficeClickToRun.exe          4836 Services                   0      9,284 K
RstMwService.exe              4852 Services                   0      1,136 K
sqlwriter.exe                 4864 Services                   0      1,040 K
svchost.exe                   4892 Services                   0     11,852 K
LMS.exe                       4900 Services                   0      1,508 K
UltraViewer_Service.exe       4908 Services                   0      3,100 K
RtkAudUService64.exe          4944 Services                   0      2,004 K
MsMpEng.exe                   4952 Services                   0    214,748 K
svchost.exe                   4980 Services                   0        756 K
svchost.exe                   4992 Services                   0      8,604 K
svchost.exe                   5056 Services                   0     16,224 K
