
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,232 K
Registry                       176 Services                   0     28,360 K
smss.exe                       680 Services                   0        232 K
csrss.exe                      796 Services                   0      2,364 K
wininit.exe                   1000 Services                   0        768 K
services.exe                  1048 Services                   0      9,296 K
lsass.exe                     1056 Services                   0     19,380 K
svchost.exe                   1192 Services                   0     30,000 K
fontdrvhost.exe               1224 Services                   0        188 K
WUDFHost.exe                  1244 Services                   0      5,216 K
svchost.exe                   1312 Services                   0     20,120 K
svchost.exe                   1368 Services                   0      4,228 K
WUDFHost.exe                  1416 Services                   0      2,828 K
svchost.exe                   1692 Services                   0      2,848 K
svchost.exe                   1696 Services                   0      2,068 K
svchost.exe                   1712 Services                   0      7,796 K
svchost.exe                   1852 Services                   0      4,036 K
svchost.exe                   1860 Services                   0      4,308 K
svchost.exe                   1892 Services                   0      3,824 K
svchost.exe                   1972 Services                   0     11,116 K
IntelCpHDCPSvc.exe            1988 Services                   0      1,084 K
svchost.exe                   2000 Services                   0      2,908 K
svchost.exe                    652 Services                   0      5,324 K
svchost.exe                   1140 Services                   0      3,964 K
IntelCpHeciSvc.exe            2120 Services                   0      1,012 K
svchost.exe                   2156 Services                   0      8,136 K
svchost.exe                   2456 Services                   0      5,480 K
svchost.exe                   2508 Services                   0      1,388 K
svchost.exe                   2568 Services                   0     12,896 K
svchost.exe                   2672 Services                   0      1,476 K
svchost.exe                   2680 Services                   0      6,976 K
svchost.exe                   2688 Services                   0      5,044 K
svchost.exe                   2724 Services                   0      1,696 K
dasHost.exe                   2884 Services                   0      1,036 K
Memory Compression            2904 Services                   0    134,964 K
svchost.exe                   2964 Services                   0      1,452 K
svchost.exe                   3040 Services                   0      9,796 K
igfxCUIService.exe            3068 Services                   0      1,340 K
svchost.exe                   2848 Services                   0      3,204 K
svchost.exe                   2652 Services                   0      3,180 K
svchost.exe                   3192 Services                   0     17,240 K
svchost.exe                   3200 Services                   0      2,324 K
svchost.exe                   3272 Services                   0     10,812 K
svchost.exe                   3428 Services                   0      3,132 K
svchost.exe                   3436 Services                   0      3,980 K
svchost.exe                   3536 Services                   0      4,024 K
svchost.exe                   3640 Services                   0      3,656 K
svchost.exe                   3728 Services                   0      8,460 K
svchost.exe                   3736 Services                   0     29,208 K
svchost.exe                   3884 Services                   0      9,772 K
svchost.exe                   3892 Services                   0      3,032 K
svchost.exe                   3940 Services                   0      4,336 K
spoolsv.exe                   4052 Services                   0      4,664 K
svchost.exe                   4160 Services                   0      2,660 K
svchost.exe                   4240 Services                   0     29,180 K
svchost.exe                   4256 Services                   0      2,148 K
svchost.exe                   4268 Services                   0     28,440 K
svchost.exe                   4276 Services                   0      8,652 K
ELANFPService.exe             4360 Services                   0      2,272 K
svchost.exe                   4444 Services                   0      4,628 K
OneApp.IGCC.WinService.ex     4456 Services                   0      8,188 K
ICEsoundService64.exe         4512 Services                   0      3,588 K
iaStorAfsService.exe          4540 Services                   0        928 K
svchost.exe                   4548 Services                   0      3,736 K
IntelAudioService.exe         4592 Services                   0      5,260 K
mfemms.exe                    4620 Services                   0      4,000 K
esif_uf.exe                   4636 Services                   0      2,320 K
svchost.exe                   4664 Services                   0      1,352 K
ModuleCoreService.exe         4688 Services                   0     45,720 K
MpDefenderCoreService.exe     4712 Services                   0     13,936 K
FoxitPDFReaderUpdateServi     4784 Services                   0      2,080 K
RtkBtManServ.exe              4800 Services                   0      4,368 K
PEFService.exe                4808 Services                   0      2,744 K
OfficeClickToRun.exe          4836 Services                   0     15,556 K
RstMwService.exe              4852 Services                   0      1,304 K
sqlwriter.exe                 4864 Services                   0      1,448 K
svchost.exe                   4892 Services                   0     15,348 K
LMS.exe                       4900 Services                   0      2,844 K
UltraViewer_Service.exe       4908 Services                   0      8,120 K
RtkAudUService64.exe          4944 Services                   0      2,776 K
MsMpEng.exe                   4952 Services                   0    221,024 K
svchost.exe                   4980 Services                   0        904 K
svchost.exe                   4992 Services                   0      9,540 K
svchost.exe                   5056 Services                   0     17,772 K
