
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Registry                       224 Services                   0     72,056 K
smss.exe                       652 Services                   0        792 K
csrss.exe                      884 Services                   0      3,068 K
wininit.exe                   1120 Services                   0      2,744 K
services.exe                  1204 Services                   0      7,960 K
lsass.exe                     1280 Services                   0     24,388 K
svchost.exe                   1432 Services                   0     33,916 K
fontdrvhost.exe               1464 Services                   0        896 K
svchost.exe                   1564 Services                   0     16,268 K
svchost.exe                   1616 Services                   0      6,104 K
svchost.exe                   1748 Services                   0      5,416 K
svchost.exe                   1756 Services                   0     10,688 K
svchost.exe                   1764 Services                   0      7,064 K
svchost.exe                   1776 Services                   0      9,244 K
svchost.exe                   1920 Services                   0      7,004 K
svchost.exe                   1928 Services                   0      5,556 K
svchost.exe                   1936 Services                   0      6,340 K
svchost.exe                   2032 Services                   0      5,060 K
svchost.exe                    892 Services                   0      6,640 K
svchost.exe                   1352 Services                   0      2,044 K
svchost.exe                    996 Services                   0     16,896 K
svchost.exe                   2068 Services                   0      6,444 K
svchost.exe                   2284 Services                   0     11,000 K
svchost.exe                   2308 Services                   0      4,792 K
atiesrxx.exe                  2448 Services                   0      2,404 K
amdfendrsr.exe                2444 Services                   0      2,376 K
svchost.exe                   2460 Services                   0     18,676 K
svchost.exe                   2496 Services                   0     19,380 K
svchost.exe                   2536 Services                   0      7,860 K
svchost.exe                   3012 Services                   0     19,740 K
svchost.exe                   3036 Services                   0      5,392 K
svchost.exe                   3052 Services                   0      3,652 K
svchost.exe                   2104 Services                   0     10,896 K
svchost.exe                   3464 Services                   0      1,904 K
svchost.exe                   3480 Services                   0      5,372 K
svchost.exe                   3472 Services                   0     18,136 K
Memory Compression            3596 Services                   0    132,840 K
svchost.exe                   3632 Services                   0      6,508 K
svchost.exe                   3672 Services                   0      5,408 K
svchost.exe                   3676 Services                   0      7,076 K
svchost.exe                   3776 Services                   0     12,492 K
svchost.exe                   3812 Services                   0      3,520 K
svchost.exe                   3860 Services                   0      3,496 K
svchost.exe                   3928 Services                   0     18,224 K
svchost.exe                   3956 Services                   0     30,236 K
svchost.exe                   4044 Services                   0     10,236 K
spoolsv.exe                   4092 Services                   0      8,396 K
svchost.exe                   1344 Services                   0     21,360 K
svchost.exe                   4116 Services                   0      3,344 K
svchost.exe                   4368 Services                   0      7,564 K
RtkAudUService64.exe          4380 Services                   0      8,444 K
svchost.exe                   4388 Services                   0      4,388 K
OfficeClickToRun.exe          4396 Services                   0     44,056 K
MSIService.exe                4404 Services                   0      4,352 K
Mystic_Light_Service.exe      4412 Services                   0     13,848 K
svchost.exe                   4416 Services                   0     16,036 K
MSI_Central_Service.exe       4428 Services                   0      8,664 K
Sendevsvc.exe                 4452 Services                   0     23,512 K
MSIAPService.exe              4460 Services                   0      7,484 K
sqlwriter.exe                 4468 Services                   0      2,108 K
svchost.exe                   4476 Services                   0      2,128 K
svchost.exe                   4484 Services                   0     49,900 K
MpDefenderCoreService.exe     4496 Services                   0     18,280 K
svchost.exe                   4504 Services                   0      2,660 K
spacedeskService.exe          4512 Services                   0      3,068 K
svchost.exe                   4520 Services                   0     12,556 K
MsMpEng.exe                   4532 Services                   0    278,060 K
svchost.exe                   4544 Services                   0     28,072 K
svchost.exe                   4564 Services                   0     46,344 K
svchost.exe                   4764 Services                   0      4,360 K
wlanext.exe                   4968 Services                   0      1,892 K
WmiPrvSE.exe                  5936 Services                   0     30,736 K
AggregatorHost.exe            1320 Services                   0      9,648 K
WmiPrvSE.exe                  4228 Services                   0     16,288 K
svchost.exe                   7060 Services                   0     24,988 K
NisSrv.exe                    5596 Services                   0      5,516 K
svchost.exe                   4056 Services                   0      5,332 K
svchost.exe                   7316 Services                   0     23,444 K
svchost.exe                   7732 Services                   0     18,108 K
MSI.CentralServer.exe         8292 Services                   0     44,908 K
conhost.exe                   8312 Services                   0      1,548 K
svchost.exe                   8988 Services                   0      8,996 K
SearchIndexer.exe             9172 Services                   0     46,444 K
WmiPrvSE.exe                 10264 Services                   0      6,608 K
